abbr,rank,policy,ppt,people_k
AL,1,"Social Security",-11.4,574
AL,2,"EITC",-1.8,92
AL,3,"SNAP",-1.5,76
AL,4,"SSI",-1.2,60
AL,5,"CTC",-1.1,57
AL,6,"School Lunch",-0.4,21
AL,7,"Housing Assistance",-0.4,18
AL,8,"TANF/GA",-0.3,14
AL,9,"Unemployment Ins.",-0.1,4
AL,10,"Energy Assistance",-0.05,2
AL,11,"WIC",-0.02,1
AK,1,"Social Security",-5.7,41
AK,2,"CTC",-1,7
AK,3,"SNAP",-0.9,7
AK,4,"SSI",-0.7,5
AK,5,"EITC",-0.5,4
AK,6,"Housing Assistance",-0.5,3
AK,7,"TANF/GA",-0.4,3
AK,8,"School Lunch",-0.4,3
AK,9,"Energy Assistance",-0.2,2
AK,10,"Unemployment Ins.",-0.02,0.3
AK,11,"WIC",-0.02,0.5
AZ,1,"Social Security",-9.7,713
AZ,2,"EITC",-1.1,79
AZ,3,"CTC",-0.9,65
AZ,4,"SNAP",-0.9,65
AZ,5,"Housing Assistance",-0.5,36
AZ,6,"School Lunch",-0.3,25
AZ,7,"SSI",-0.3,24
AZ,8,"WIC",-0.1,9
AZ,9,"Unemployment Ins.",-0.1,7
AZ,10,"Energy Assistance",-0.03,1
AZ,11,"TANF/GA",-0.02,1
AR,1,"Social Security",-11.1,333
AR,2,"EITC",-1.7,52
AR,3,"CTC",-1,31
AR,4,"SNAP",-0.9,27
AR,5,"SSI",-0.9,26
AR,6,"School Lunch",-0.8,25
AR,7,"Housing Assistance",-0.5,14
AR,8,"Unemployment Ins.",-0.1,3
AR,9,"WIC",-0.1,3
AR,10,"Energy Assistance",-0.03,1
AR,11,"TANF/GA",-0.03,1
CA,1,"Social Security",-6.5,2543
CA,2,"Housing Assistance",-1.4,535
CA,3,"CTC",-1.3,499
CA,4,"EITC",-1.1,430
CA,5,"SNAP",-0.9,356
CA,6,"SSI",-0.8,297
CA,7,"TANF/GA",-0.4,144
CA,8,"School Lunch",-0.4,139
CA,9,"Unemployment Ins.",-0.2,73
CA,10,"Energy Assistance",-0.1,24
CA,11,"WIC",-0.02,16
CO,1,"Social Security",-6.9,404
CO,2,"EITC",-0.8,44
CO,3,"SSI",-0.7,38
CO,4,"Housing Assistance",-0.6,36
CO,5,"CTC",-0.4,23
CO,6,"SNAP",-0.3,20
CO,7,"School Lunch",-0.2,10
CO,8,"Unemployment Ins.",-0.03,3
CO,9,"TANF/GA",-0.02,1
CO,10,"Energy Assistance",-0.02,0.5
CO,11,"WIC",-0.02,0.5
CT,1,"Social Security",-8.4,306
CT,2,"Housing Assistance",-1.4,49
CT,3,"SNAP",-1.2,45
CT,4,"CTC",-0.9,34
CT,5,"EITC",-0.7,25
CT,6,"SSI",-0.7,25
CT,7,"School Lunch",-0.5,17
CT,8,"Unemployment Ins.",-0.2,8
CT,9,"Energy Assistance",-0.1,4
CT,10,"WIC",-0.1,3
CT,11,"TANF/GA",-0.02,1
DE,1,"Social Security",-11,114
DE,2,"EITC",-2,21
DE,3,"CTC",-1.6,17
DE,4,"SNAP",-1.2,12
DE,5,"School Lunch",-1,11
DE,6,"Housing Assistance",-0.8,8
DE,7,"SSI",-0.4,4
DE,8,"Energy Assistance",-0.1,1
DE,9,"Unemployment Ins.",-0.1,1
DE,10,"TANF/GA",-0.02,0.3
DE,11,"WIC",-0.02,0.4
DC,1,"Social Security",-5.8,39
DC,2,"Housing Assistance",-2.1,15
DC,3,"SNAP",-1.1,7
DC,4,"CTC",-1,7
DC,5,"EITC",-0.7,5
DC,6,"SSI",-0.7,5
DC,7,"School Lunch",-0.6,4
DC,8,"TANF/GA",-0.5,3
DC,9,"Energy Assistance",-0.1,0.3
DC,10,"WIC",-0.02,0.2
DC,11,"Unemployment Ins.",-0.02,0.2
FL,1,"Social Security",-10,2281
FL,2,"CTC",-1.2,285
FL,3,"EITC",-1.2,265
FL,4,"SNAP",-0.9,203
FL,5,"SSI",-0.8,186
FL,6,"Housing Assistance",-0.4,102
FL,7,"School Lunch",-0.4,98
FL,8,"WIC",-0.1,25
FL,9,"Unemployment Ins.",-0.1,16
FL,10,"TANF/GA",-0.1,12
