abbr,name,all_rate,all_n,all_prerate,all_pren,all_ppt,all_moved,youth_rate,youth_n,youth_prerate,youth_pren,youth_ppt,youth_moved,working_rate,working_n,working_prerate,working_pren,working_ppt,working_moved,senior_rate,senior_n,senior_prerate,senior_pren,senior_ppt,senior_moved
AL,"Alabama",13.5,678000,29.3,1471000,-15.8,-793000,14.5,161000,25.9,287000,-11.4,-126000,12.6,375000,21.3,634000,-8.7,-259000,15.2,142000,58.7,550000,-43.5,-408000
AK,"Alaska",10.3,74000,18.3,131000,-8,-57000,10.6,19000,15.3,27000,-4.6,-8000,9.6,41000,14,61000,-4.5,-19000,12.8,13000,40.7,43000,-27.9,-29000
AZ,"Arizona",12.7,935000,24.6,1810000,-11.9,-874000,14.4,231000,23.3,374000,-8.9,-143000,12.2,529000,16.7,726000,-4.5,-197000,12.5,175000,50.6,710000,-38.1,-535000
AR,"Arkansas",13.6,409000,28.1,846000,-14.5,-437000,14.5,101000,25.4,176000,-10.9,-75000,13.1,233000,20.3,360000,-7.2,-127000,14,76000,57.1,310000,-43.1,-234000
CA,"California",17.7,6882000,25.7,10012000,-8,-3130000,18.2,1513000,25.5,2120000,-7.3,-608000,16.9,4090000,20.5,4962000,-3.6,-872000,20,1280000,45.9,2930000,-25.8,-1650000
CO,"Colorado",10.4,606000,18.3,1071000,-8,-465000,7.8,95000,13.3,162000,-5.5,-67000,10.2,367000,13.4,484000,-3.2,-117000,14.1,144000,41.7,426000,-27.6,-282000
CT,"Connecticut",10.1,366000,20.5,742000,-10.4,-377000,11.6,84000,20.1,146000,-8.4,-61000,9.7,212000,14.5,317000,-4.8,-105000,9.6,70000,38.8,280000,-29.1,-210000
DE,"Delaware",9.3,96000,22.9,238000,-13.7,-142000,10.2,22000,20.2,44000,-10,-21000,8.7,51000,15.2,90000,-6.5,-38000,9.8,23000,45.1,105000,-35.4,-82000
DC,"District of Columbia",15.2,103000,22.5,152000,-7.2,-49000,18.7,24000,26.9,34000,-8.3,-10000,13,59000,16.4,75000,-3.4,-15000,21.4,20000,45.7,44000,-24.3,-23000
FL,"Florida",16,3657000,27.9,6356000,-11.8,-2699000,17.6,784000,25.7,1146000,-8.1,-362000,15.1,2017000,20,2668000,-4.9,-651000,17.1,856000,50.8,2542000,-33.7,-1687000
GA,"Georgia",13.6,1506000,24,2654000,-10.4,-1148000,14.1,355000,22.3,563000,-8.2,-207000,13,882000,17.8,1206000,-4.8,-324000,15.3,268000,50.5,885000,-35.2,-616000
HI,"Hawaii",10.7,152000,21.9,311000,-11.2,-158000,12.2,37000,24.3,73000,-12.1,-37000,9.7,79000,16.4,134000,-6.7,-55000,12.3,37000,34.7,104000,-22.4,-67000
ID,"Idaho",8.4,165000,20.2,396000,-11.8,-231000,5.8,27000,12.3,58000,-6.5,-30000,8.5,98000,14,161000,-5.4,-63000,11.5,39000,52.1,178000,-40.5,-138000
IL,"Illinois",11.2,1402000,21.1,2643000,-9.9,-1241000,11,296000,19.6,526000,-8.6,-230000,10.7,818000,14.9,1141000,-4.2,-322000,13.1,287000,44.6,975000,-31.4,-688000
IN,"Indiana",9.4,644000,21.2,1448000,-11.8,-804000,9.2,147000,16,254000,-6.8,-108000,9.2,374000,14.3,583000,-5.1,-209000,10.4,124000,51.5,611000,-41.1,-487000
IA,"Iowa",7.5,240000,16.8,538000,-9.3,-298000,6.7,49000,12.4,90000,-5.7,-41000,7.8,146000,10.5,197000,-2.7,-51000,7.6,45000,41.7,251000,-34.1,-205000
KS,"Kansas",8.8,256000,19.6,570000,-10.8,-314000,9.1,62000,17.8,121000,-8.6,-59000,8.5,144000,13,220000,-4.5,-76000,9.3,50000,42.5,230000,-33.2,-180000
KY,"Kentucky",13.9,625000,30.1,1356000,-16.3,-732000,15,153000,27.4,278000,-12.4,-126000,13.6,358000,22.2,587000,-8.7,-229000,13.5,114000,58,491000,-44.5,-377000
LA,"Louisiana",17.7,799000,31.7,1433000,-14,-634000,18.9,200000,31.9,337000,-13,-137000,16.8,456000,25.2,685000,-8.4,-230000,19.1,144000,54.7,411000,-35.5,-267000
ME,"Maine",6.8,94000,23.3,324000,-16.5,-230000,5.2,13000,17.8,44000,-12.6,-31000,6.4,51000,14.7,118000,-8.4,-67000,8.8,30000,47.2,162000,-38.4,-132000
MD,"Maryland",11.3,702000,18.6,1160000,-7.4,-458000,12.2,166000,17.1,233000,-4.9,-67000,10.7,404000,13.6,516000,-3,-112000,12.1,132000,37.8,411000,-25.7,-280000
MA,"Massachusetts",11.7,816000,20.8,1446000,-9.1,-630000,11.6,159000,18.7,256000,-7.1,-97000,10.9,476000,15.3,666000,-4.4,-189000,14.6,181000,42.3,525000,-27.7,-344000
MI,"Michigan",10.6,1056000,23.3,2324000,-12.7,-1269000,10.2,214000,20.6,434000,-10.5,-220000,10.7,642000,16.8,1011000,-6.1,-369000,10.6,200000,46.8,880000,-36.2,-680000
MN,"Minnesota",7.6,439000,18.2,1044000,-10.5,-605000,6.6,83000,12.9,163000,-6.3,-80000,7.1,245000,11.9,411000,-4.8,-166000,10.7,110000,45.6,470000,-34.9,-360000
MS,"Mississippi",16.3,473000,34,988000,-17.7,-515000,17.3,115000,29.4,196000,-12.1,-81000,15.5,267000,26.3,452000,-10.8,-185000,17.5,91000,65.5,340000,-48,-250000
